Name,Country,Title,Wikipedia Page,Status,Roles,Chief Executive,Mode of Selection,Birthday,Age,Gender,In office since,Years in office,Beginning of current term,Current term length in years,Time left in current term,Consecutive terms under current constitutional framework,Maximum number of consecutive terms allowed,Noteworthy,Notes,Interesting stuff
Abiy Ahmed,Ethiopia,Prime Minister of Ethiopia,https://en.wikipedia.org/wiki/Abiy_Ahmed,Incumbent,Head of Government,checked,Indirect election,1976-08-15,43,Male,2018-04-02,1.7,2018-04-02,99,97.4,1,99,,,
Ali Bongo Ondimba,Gabon,President of the Gabonese Republic,https://en.wikipedia.org/wiki/Ali_Bongo_Ondimba,Incumbent,Head of State,checked,Direct election,1959-02-09,60,Male,2009-10-16,10.1,2016-09-27,7,3.8,1,,"Changed constitutional term limits for own benefit,Close family member has occupied same or higher office,First came to power under unconstitutional or questionable circumstances",,
Julien Nkoghe Bekale,Gabon,Prime Minister of Gabon,https://en.wikipedia.org/wiki/Julien_Nkoghe_Bekale,Incumbent,Head of Government,,Appointment,1962-01-12,57,Male,2019-01-12,0.9,2019-01-12,99,98.2,1,99,,,
Adama Barrow,Gambia,President of the Republic of The Gambia,https://en.wikipedia.org/wiki/Adama_Barrow,Incumbent,"Head of State,Head of Government,Ceremonial",checked,Direct election,1965-02-16,54,Male,2017-01-19,2.9,2017-01-19,5,2.1,1,,,,
Nana Akufo-Addo,Ghana,President of the Republic of Ghana,https://en.wikipedia.org/wiki/Nana_Akufo-Addo,Incumbent,"Head of State,Head of Government",checked,Direct election,1944-03-29,75,Male,2017-01-07,2.9,2017-01-07,4,1.1,1,2,,,
Alpha Conde,Guinea,President of the Republic of Guinea,https://en.wikipedia.org/wiki/Alpha_Conde,Incumbent,Head of State,checked,Direct election,1938-03-04,81,Male,2010-12-21,8.9,2015-12-14,5,1.0,2,2,,,
Ibrahima Kassory Fofana,Guinea,Prime Minister of Guinea,https://en.wikipedia.org/wiki/Ibrahima_Kassory_Fofana,Incumbent,Head of Government,,Appointment,1954-01-01,65,Male,2018-05-24,1.5,2018-05-24,99,97.6,1,99,,,
Jose Mario Vaz,Guinea-Bissau,President of the Republic of Guinea-Bissau,https://en.wikipedia.org/wiki/Jose_Mario_Vaz,Incumbent,Head of State,checked,Direct election,1957-12-10,61,Male,2014-06-23,5.4,2014-06-23,5,-0.4,1,2,,,
Aristides Gomes,Guinea-Bissau,Prime Minister of Guinea-Bissau,https://en.wikipedia.org/wiki/Aristides_Gomes,Incumbent,Head of Government,,Appointment,1954-11-08,65,Male,2018-04-16,1.6,2018-04-16,99,97.4,1,99,,,
Uhuru Kenyatta,Kenya,President of the Republic of Kenya,https://en.wikipedia.org/wiki/Uhuru_Kenyatta,Incumbent,"Head of State,Head of Government",checked,Direct election,1961-10-26,58,Male,2013-04-09,6.6,2017-11-28,5,3.0,2,2,"First came to power under unconstitutional or questionable circumstances,Close family member has occupied same or higher office",,
Letsie III,Lesotho,King of Lesotho,https://en.wikipedia.org/wiki/Letsie_III,Incumbent,"Head of State,Ceremonial",,Indirect election,1963-07-17,56,Male,1996-02-07,23.8,1996-02-07,99,75.2,,,Close family member has occupied same or higher office,Lesotho is a constitutional monarchy with limited executive powers invested in the King,
Tom Thabane,Lesotho,Prime Minister of Lesotho,https://en.wikipedia.org/wiki/Tom_Thabane,Incumbent,Head of Government,checked,Indirect election,1939-05-28,80,Male,2017-06-16,2.5,2017-06-16,99,96.6,1,99,,,
George Weah,Liberia,President of the Republic of Liberia,https://en.wikipedia.org/wiki/George_Weah,Incumbent,"Head of State,Head of Government",checked,Direct election,1966-10-01,53,Male,2018-01-22,1.8,2018-01-22,6,4.2,1,2,,,
Fayez al-Sarraj,Libya,Prime Minister of Libya,https://en.wikipedia.org/wiki/Fayez_al-Sarraj,Incumbent,Head of Government,checked,Indirect election,1960-02-20,59,Male,2016-04-05,3.6,2016-04-05,99,95.4,1,99,First came to power under unconstitutional or questionable circumstances,"al-Sarraj also chairs the Presidential Council, which acts as a collective Head of State. He represents the internationally recognized government, but his rule is challenged by a rival government that controls substantial parts of the country.",
Presidential Council,Libya,Presidential Council of Libya,https://en.wikipedia.org/wiki/Presidential_Council,Incumbent,Head of State,,Appointment,,,Collective,2016-03-30,3.7,2016-03-30,99,95.4,1,99,First came to power under unconstitutional or questionable circumstances,"The government of Libya is disputed and there is no permamenent constitution in place. The Presidential Council is the internationally recognized head of state, but its legitimacy and power in Libya are limited.",
Andry Rajoelina,Madagascar,President of the Rpublic of Madagascar,https://en.wikipedia.org/wiki/Andry_Rajoelina,Incumbent,"Head of State,Head of Government",checked,Direct election,1974-05-30,45,Male,2019-01-19,0.9,2019-01-19,5,4.1,1,2,,,
Peter Mutharika,Malawi,President of the Republic of Malawi,https://en.wikipedia.org/wiki/Peter_Mutharika,Incumbent,"Head of State,Head of Government",checked,Direct election,1939-07-18,80,Male,2014-05-31,5.5,2014-05-31,5,-0.5,1,2,"First came to power under unconstitutional or questionable circumstances,Close family member has occupied same or higher office",,
Ibrahim Boubacar Keita,Mali,President of the Republic of Mali,https://en.wikipedia.org/wiki/Ibrahim_Boubacar_Keita,Incumbent,Head of State,checked,Direct election,1945-01-29,74,Male,2013-11-04,6.1,2018-11-04,5,3.9,2,2,,,
Boubou Cissé,Mali,Prime Minister of Mali,https://en.wikipedia.org/wiki/Boubou_Cissé,Incumbent,Head of Government,,Appointment,1974-01-01,45,Male,2019-04-23,0.6,2019-04-23,99,98.5,1,99,,,
Mohamed Ould Ghazouani,Mauritania,President of the Islamic Republic of Mauritania,https://en.wikipedia.org/wiki/Mohamed_Ould_Ghazouani,Incumbent,"Head of State,Head of Government",checked,Direct election,1956-12-31,62,Male,2019-08-01,0.3,2019-08-01,5,4.7,1,2,,,
Barlen Vyapoory,Mauritius,President of the Republic of Mauritius,https://en.wikipedia.org/wiki/Barlen_Vyapoory,Acting,"Head of State,Ceremonial",,Indirect election,1945-01-01,74,Male,2018-03-23,1.7,2018-03-23,5,3.3,1,,,Acting,
Pravind Jugnauth,Mauritius,Prime Minister of Mauritius,https://en.wikipedia.org/wiki/Pravind_Jugnauth,Incumbent,Head of Government,checked,Indirect election,1961-12-25,57,Male,2017-01-23,2.8,2017-01-23,99,96.2,1,99,Close family member has occupied same or higher office,"Jugnauth's father directly preceded him in office, but the handover was handled within the consititutional framework and he has since been confirmed in an open election.",
Mohammed VI,Morocco,King of Morocco,https://en.wikipedia.org/wiki/Mohammed_VI,Incumbent,Head of State,checked,Hereditary office,1963-08-21,56,Male,1999-07-23,20.4,1999-07-23,99,78.7,,,Close family member has occupied same or higher office,A constitutional monarchy with considerable powers reserved for the King.,
Saadeddine Othmani,Morocco,Prime Minister of Morocco,https://en.wikipedia.org/wiki/Saadeddine_Othmani,Incumbent,Head of Government,,Appointment,1956-01-16,63,Male,2017-03-17,2.7,2017-03-17,99,96.4,1,99,,,
Filipe Nyusi,Mozambique,President of the Republic of Mozambique,https://en.wikipedia.org/wiki/Filipe_Nyusi,Incumbent,Head of State,checked,Direct election,1959-02-09,60,Male,2015-11-15,4.0,2015-11-15,5,1.0,1,2,,,
Carlos Agostinho do Rosário,Mozambique,Prime Minister of Mozambique,https://en.wikipedia.org/wiki/Carlos_Agostinho_do_Rosário,Incumbent,Head of Government,,Appointment,1954-10-26,65,Male,2015-01-17,4.9,2015-01-17,99,94.2,1,99,,,
Hage Gottfried Geingob,Namibia,President of the Republic of Namibia,https://en.wikipedia.org/wiki/Hage_Gottfried_Geingob,Incumbent,Head of State,checked,Direct election,1941-08-03,78,Male,2015-03-21,4.7,2015-03-21,5,0.3,1,2,,,
Saara Kuugongelwa,Namibia,Prime Minister of Namibia,https://en.wikipedia.org/wiki/Saara_Kuugongelwa,Incumbent,Head of Government,,Appointment,1967-10-12,52,Female,2015-03-21,4.7,2015-03-21,99,94.4,1,99,,,
Mahamadou Issoufou,Niger,President of the Republic of the Niger,https://en.wikipedia.org/wiki/Mahamadou_Issoufou,Incumbent,Head of State,checked,Direct election,1952-01-01,67,Male,2011-04-07,8.6,2016-04-02,5,1.3,2,2,,,
Brigi Rafini,Niger,Prime Minister of Niger,https://en.wikipedia.org/wiki/Brigi_Rafini,Incumbent,Head of Government,,Appointment,1953-04-07,66,Male,2011-04-07,8.6,2011-04-07,99,90.4,1,99,,,
Muhammadu Buhari,Nigeria,President of the Federal Republic of Nigeria,https://en.wikipedia.org/wiki/Muhammadu_Buhari,Incumbent,"Head of State,Head of Government",checked,Direct election,1942-12-17,76,Male,2015-05-29,4.5,2015-05-29,4,-0.5,1,2,,"Buhari won a second term in January, but has not officially been transitioned to it as of now.",
Denis Sassou Nguesso,Republic of the Congo,President of the Republic of the Congo,https://en.wikipedia.org/wiki/Denis_Sassou_Nguesso,Incumbent,Head of State,checked,Direct election,1943-11-23,76,Male,1987-10-25,32.1,2016-04-16,5,1.4,1,3,"First came to power under unconstitutional or questionable circumstances,Changed constitutional term limits for own benefit",,
Clément Mouamba,Republic of the Congo,Prime Minister of the Republic of the Congo,https://en.wikipedia.org/wiki/Clément_Mouamba,Incumbent,Head of Government,,Appointment,1943-01-01,76,Male,2016-04-23,3.6,2016-04-23,99,95.5,1,99,,,
Paul Kagame,Rwanda,President of the Republic of Rwanda,https://en.wikipedia.org/wiki/Paul_Kagame,Incumbent,Head of State,checked,Direct election,1957-10-23,62,Male,2000-04-22,19.6,2017-08-18,7,4.7,3,3,"Changed constitutional term limits for own benefit,First came to power under unconstitutional or questionable circumstances","A constitutional amendment that will enter into force in 2024 will allow Kagameto stand for two more terms of five years, potentially extending his rule to 2034",
Édouard Ngirente,Rwanda,Prime Minister of Rwanda,https://en.wikipedia.org/wiki/Édouard_Ngirente,Incumbent,Head of Government,,Appointment,1973-02-22,46,Male,2017-08-30,2.2,2017-08-30,99,96.8,1,99,,,
Brahim Ghali,Sahrawi Republic,President of the Sahrawi Arab Democratic Republic,https://en.wikipedia.org/wiki/Brahim_Ghali,Incumbent,Head of State,checked,Direct election,1949-09-16,70,Male,2016-07-12,3.4,2016-07-12,99,95.7,1,99,,The Sahrawi Republic is currently annexed by Morocco and the government is in exile in Algeria.,
Mohamed Wali Akeik,Sahrawi Republic,Prime Minister of the Sahrawi Republic,https://en.wikipedia.org/wiki/Mohamed_Wali_Akeik,Incumbent,Head of Government,,Appointment,1950-01-01,69,Male,2018-02-04,1.8,2018-02-04,99,97.3,1,99,,The Sahrawi Republic is currently annexed by Morocco and the government is in exile in Algeria.,
Evaristo Carvalho,Sao Tome and Principe,President of the Democratic Republic of Sao Tome and Principe,https://en.wikipedia.org/wiki/Evaristo_Carvalho,Incumbent,"Head of State,Ceremonial",,Direct election,1942-10-22,77,Male,2016-09-03,3.2,2016-09-03,5,1.8,1,2,,,
Jorge Bom Jesus,Sao Tome and Principe,Prime Minister of Sao Tome and Principe,https://en.wikipedia.org/wiki/Jorge_Bom_Jesus,Incumbent,Head of Government,checked,Indirect election,1962-07-26,57,Male,2018-12-03,1.0,2018-12-03,99,98.1,1,99,,,
Macky Sall,Senegal,President of the Republic of Senegal,https://en.wikipedia.org/wiki/Macky_Sall,Incumbent,"Head of State,Head of Government",checked,Direct election,1961-12-11,57,Male,2012-04-02,7.7,2019-04-02,5,4.3,2,2,,,
Danny Faure,Seychelles,President of the Republic of Seychelles,https://en.wikipedia.org/wiki/Danny_Faure,Incumbent,"Head of State,Head of Government",checked,Direct election,1962-05-08,57,Male,2016-10-16,3.1,2016-10-16,5,1.9,1,2,,,
Julius Maada Bio,Sierra Leone,President of the Republic of Sierra Leone,https://en.wikipedia.org/wiki/Julius_Maada_Bio,Incumbent,Head of State,checked,Direct election,1964-05-12,55,Male,2018-04-04,1.7,2018-04-04,5,3.4,1,2,,,
David J. Francis,Sierra Leone,Chief Minister of Sierra Leone,https://en.wikipedia.org/wiki/David_J._Francis,Incumbent,Head of Government,,Appointment,1965-10-05,54,Male,2018-04-20,1.6,2018-04-20,99,97.5,1,99,,,
Mohamed Abdullahi Mohamed,Somalia,President of the Federal Republic of Somalia,https://en.wikipedia.org/wiki/Mohamed_Abdullahi_Mohamed,Incumbent,Head of State,checked,Indirect election,1962-03-11,57,Male,2017-02-16,2.8,2017-02-16,4,1.2,1,,,,
Hassan Ali Khayre,Somalia,Prime Minister of Somalia,https://en.wikipedia.org/wiki/Hassan_Ali_Khayre,Incumbent,Head of Government,,Appointment,1968-01-01,51,Male,2017-03-01,2.7,2017-03-01,99,96.3,1,99,,,
Muse Bihi Abdi,Somaliland,President of the Republic of Somaliland,https://en.wikipedia.org/wiki/Muse_Bihi_Abdi,Incumbent,"Head of State,Head of Government",checked,Direct election,1948-01-01,71,Male,2017-12-13,2.0,2017-12-13,5,3.0,1,2,,,
Cyril Ramaphosa,South Africa,President of the Republic of South Africa,https://en.wikipedia.org/wiki/Cyril_Ramaphosa,Incumbent,"Head of State,Head of Government",checked,Indirect election,1952-11-17,67,Male,2018-02-15,1.8,2018-02-15,5,3.2,0,2,,"Ramaphosa was elected after his predecessor Jacob Zuma stepped down during his term. As per the constitution, Ramaphosa's current term doesn't count against his term limit and he will contest the next election on 8 May 2019. The President is elected by parliament.",
Salva Kiir Mayardit,South Sudan,President of the Republic of South Sudan,https://en.wikipedia.org/wiki/Salva_Kiir_Mayardit,Incumbent,"Head of State,Head of Government",checked,Direct election,1951-09-13,68,Male,2011-07-09,8.4,2011-07-09,5,-3.4,1,,"First came to power under unconstitutional or questionable circumstances,Changed constitutional term limits for own benefit",South Sudan has never held an actual presidential election. Salva Kiir is in office as per the interim arrangements of the constitution upon independence in 2011.,
Sovereignity Council,Sudan,Sovereignity Council,https://en.wikipedia.org/wiki/Sovereignity_Council,Incumbent,Head of State,checked,Indirect election,,,Collective,2019-08-20,0.3,2019-08-20,3,3.0,1,1,First came to power under unconstitutional or questionable circumstances,"Under a deal between the military and the opposition, a joint sovereignity council will be the highest political institution in Sudan for an interim period of 39 monthy",
Abdalla Hamdok,Sudan,Prime Minister of Sudan,https://en.wikipedia.org/wiki/Abdalla_Hamdok,Incumbent,Head of Government,,Appointment,1956-01-01,63,Male,2019-08-21,0.3,2019-08-21,99,98.8,1,99,,,
John Magufuli,Tanzania,President of the United Republic of Tanzania,https://en.wikipedia.org/wiki/John_Magufuli,Incumbent,Head of State,checked,Direct election,1959-10-29,60,Male,2015-11-05,4.1,2015-11-05,5,0.9,1,2,,,
Kassim Majaliwa,Tanzania,Prime Minister of Tanzania,https://en.wikipedia.org/wiki/Kassim_Majaliwa,Incumbent,Head of Government,,Appointment,1961-12-22,57,Male,2015-11-20,4.0,2015-11-20,99,95.0,1,99,,,
Faure Gnassingbe,Togo,President of the Togolese Republic,https://en.wikipedia.org/wiki/Faure_Gnassingbe,Incumbent,Head of State,checked,Direct election,1966-06-06,53,Male,2005-05-04,14.6,2015-05-04,5,0.4,3,,"Close family member has occupied same or higher office,First came to power under unconstitutional or questionable circumstances",,
Komi Sélom Klassou,Togo,Prime Minister of Togo,https://en.wikipedia.org/wiki/Komi_Sélom_Klassou,Incumbent,Head of Government,,Appointment,1960-02-10,59,Male,2015-06-10,4.5,2015-06-10,99,94.6,1,99,,,
Kais Saied,Tunisia,President of the Republic of Tunisia,https://en.wikipedia.org/wiki/Kais_Saied,Incumbent,"Head of State,Head of Government",checked,Direct election,1958-02-22,61,Male,2019-10-23,0.1,2014-12-31,5,0.1,1,2,,,
Yoweri Museveni,Uganda,President of the Republic of Uganda,https://en.wikipedia.org/wiki/Yoweri_Museveni,Incumbent,Head of State,checked,Direct election,1944-09-15,75,Male,1986-01-29,33.9,2016-05-12,5,1.5,3,,"First came to power under unconstitutional or questionable circumstances,Changed constitutional term limits for own benefit",,
Ruhakana Rugunda,Uganda,Prime Minister of Uganda,https://en.wikipedia.org/wiki/Ruhakana_Rugunda,Incumbent,Head of Government,,Appointment,1947-11-07,72,Male,2014-11-18,5.0,2014-11-18,99,94.0,1,99,,,
Edgar Lungu,Zambia,President of the Republic of Zanzibar,https://en.wikipedia.org/wiki/Edgar_Lungu,Incumbent,"Head of State,Head of Government",checked,Direct election,1956-11-11,63,Male,2015-01-25,4.8,2016-09-13,5,1.8,1,2,,,
Emmerson Mnangagwa,Zimbabwe,President of the Republic of Zimbawbe,https://en.wikipedia.org/wiki/Emmerson_Mnangagwa,Incumbent,"Head of State,Head of Government",checked,Direct election,1942-09-15,77,Male,2017-11-24,2.0,2018-08-26,5,3.7,1,2,First came to power under unconstitutional or questionable circumstances,,
